date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-04-23,587.4638,4947.931,55.17625,375.36368,3012.25,,527.42816,1262.265,14869.708
2010-04-24,785.1804,4900.147,242.25124,601.3465,1023.25,,571.91547,1371.795,16159.792
2010-04-25,930.79913,4848.391,365.6658,748.59247,1628.9584,,725.88696,1654.0199,16812.834
2010-04-26,949.1784,5627.031,557.65753,789.7739,3087.375,,794.1912,1787.91,11624.0
2010-04-27,847.2783,5444.882,421.21582,659.12195,2761.6667,,744.0571,1709.625,11039.542
2010-04-28,884.345,4942.9224,343.95126,722.0688,3177.8333,,481.55115,1182.45,11689.667
2010-04-29,1098.9888,4643.5796,469.73874,933.7732,5908.375,,748.872,1690.755,14718.417
2010-04-30,1262.7513,5188.4717,764.3033,1145.4663,5744.375,,903.1596,2040.3451,13450.208
2010-05-01,1081.097,6189.4575,802.47626,1017.41705,7129.3335,,525.1447,1378.2001,5679.125
2010-05-02,976.947,6492.7905,765.10126,896.188,6847.2085,,559.10785,1372.9501,2939.8333
2010-05-03,894.91376,6369.6504,661.122,769.86615,6743.5415,,675.68036,1546.1699,2743.25
2010-05-04,704.04083,6775.5356,553.5971,501.24777,7670.625,,1016.605,2104.35,663.6667
2010-05-05,613.27625,6589.2954,431.1742,337.43472,7666.875,,1325.1378,2877.1047,1300.0416
2010-05-06,846.345,6756.0337,685.62006,683.2764,6603.625,,998.7403,2354.0398,3613.125
2010-05-07,777.3304,5744.869,425.40125,610.0655,5312.7915,,604.6922,1421.82,6797.5835
2010-05-08,857.7512,5752.516,501.36374,733.571,6422.4165,,429.1451,1143.825,7434.625
2010-05-09,920.6492,5879.9146,584.07416,820.0652,5424.875,,419.3424,1174.035,11118.458
2010-05-10,924.7741,6335.8906,684.8367,847.04047,6169.9165,,399.63602,1155.63,6283.75
2010-05-11,1089.2179,6376.457,857.30756,1001.1418,6258.8335,,831.2898,2052.0598,8823.833
2010-05-12,1036.1595,6107.095,747.18256,933.5178,7397.7915,,694.7749,1697.055,5146.375
2010-05-13,851.4658,6396.6167,631.7596,678.10144,7558.0,,960.4751,2078.985,1443.1666
2010-05-14,615.2596,6981.617,503.36166,444.7892,7557.7915,,713.5049,1528.815,80.458336
2010-05-15,628.13043,5845.4917,312.42416,361.76,7591.9165,,1089.6449,2350.71,2164.75
2010-05-16,651.7679,5399.271,238.97209,271.92673,7696.5,,1769.5947,3666.8098,1131.625
2010-05-17,727.4616,5509.4487,330.76584,384.50583,7591.4585,,1642.1664,3420.1497,1887.3334
2010-05-18,645.5367,5767.2524,306.47,317.0656,7303.2915,,1513.1348,3227.655,3047.125
2010-05-19,576.89294,6913.9277,451.79916,360.17624,7632.4165,,949.63727,2028.6749,401.79166
2010-05-20,895.1263,6544.0234,697.62006,771.9157,7098.9165,,722.62085,1602.555,1513.75
2010-05-21,1027.797,6753.8164,866.76996,905.20233,5790.125,,1055.9288,2281.845,3913.2917
2010-05-22,1111.1866,6301.9917,857.2158,1031.4579,4367.0415,,792.1731,1825.44,10370.5
2010-05-23,1126.3241,6249.3423,867.01166,1061.5177,4587.7085,,697.9639,1604.565,9775.542
2010-05-24,1204.2555,6121.401,911.6221,1125.897,4711.0415,,886.96686,2480.655,9881.958
2010-05-25,1075.7074,5952.455,759.63666,975.3361,4561.5835,,725.06445,2066.325,10157.542
2010-05-26,962.1616,6555.76,766.5366,891.18365,7021.5415,,512.62714,1476.8251,3533.625
2010-05-27,1050.4929,6623.4194,866.14496,980.4537,5501.25,,719.2774,1687.515,4534.7915
2010-05-28,1115.7054,6132.434,824.595,1065.1105,4660.1665,,567.13275,1515.315,12817.875
2010-05-29,1077.6637,5737.397,709.83453,981.9178,4468.75,,586.2654,1461.555,10297.083
2010-05-30,1054.1554,6354.654,821.73456,939.70184,6651.5835,,920.4664,2144.07,4246.3335
2010-05-31,841.1846,5841.9556,508.22415,589.90704,7327.0415,,1299.9364,2770.4697,5138.1665
2010-06-01,767.3679,6554.9375,579.61786,555.1994,7696.7085,,1121.2579,2397.945,320.25
2010-06-02,798.8575,7228.3086,724.3096,622.1146,7212.0415,,1139.3932,2483.325,260.95834
2010-06-03,990.4012,6807.4507,840.40326,863.5787,6642.4165,,1040.7019,2209.86,1780.0834
2010-06-04,1090.3097,5563.0938,687.67,959.3843,1434.0416,,898.3841,2003.82,16376.333
2010-06-05,1270.6971,5158.8486,763.55743,1238.6041,319.29166,,446.30103,1129.62,19254.334
2010-06-06,1458.3285,5254.937,962.4387,1446.4073,2461.0417,,698.01855,1529.37,18516.291
2010-06-07,1396.895,5718.7715,1018.5866,1367.2197,3610.6667,,817.6087,1788.0,12151.833
2010-06-08,1502.5533,6037.797,1185.6158,1567.852,3865.75,,618.9448,1426.125,13536.667
